model_alias,probability_bin,n,mean_p_hate,observed_hate_rate
Qwen3-14B,0,1138332,0.01857200026190934,0.37544934166833577
Qwen3-14B,1,151935,0.1421027823113091,0.5031362095633001
Qwen3-14B,2,124680,0.24662456200372954,0.5210619185113892
Qwen3-14B,3,73872,0.34885516713030645,0.536590318388564
Qwen3-14B,4,72173,0.43827001397683346,0.5522563839663032
Qwen3-14B,5,93821,0.5466996328114175,0.5676234531714648
Qwen3-14B,6,68329,0.6509695393793264,0.5815978574251051
Qwen3-14B,7,110826,0.7525938746323065,0.5996787757385451
Qwen3-14B,8,124931,0.8570317065019891,0.6302038725376408
Qwen3-14B,9,438701,0.9665991810908796,0.7119199637110469
Qwen3-32B,0,439146,0.03354712830439917,0.27010606950763527
Qwen3-32B,1,188069,0.14513400417532926,0.4163259229325407
Qwen3-32B,2,202941,0.24890902135657655,0.4445429952547785
Qwen3-32B,3,149836,0.3494342877379268,0.46157799193785204
Qwen3-32B,4,154292,0.4397871355530423,0.48163871101547717
Qwen3-32B,5,207718,0.5468943320992885,0.5086126382884487
Qwen3-32B,6,163266,0.6509405088934622,0.5306616196881163
Qwen3-32B,7,246685,0.7522875200154042,0.5633905588098181
Qwen3-32B,8,268026,0.856015455356943,0.6151828553946259
Qwen3-32B,9,377621,0.9465066433176386,0.720415442997079
Qwen3-4B,0,1115982,0.032227743408627545,0.45166230279699854
Qwen3-4B,1,343077,0.14245057556548893,0.4893070651777881
Qwen3-4B,2,266514,0.2456617253221219,0.5079207846492116
Qwen3-4B,3,139020,0.34822871428121854,0.5242914688534024
Qwen3-4B,4,121333,0.4370841763988363,0.5417817081915061
Qwen3-4B,5,131974,0.5444010278539713,0.5610802127691819
Qwen3-4B,6,76811,0.6493687631003372,0.5864394422673835
Qwen3-4B,7,90044,0.7489136821304029,0.6178201768024522
Qwen3-4B,8,62125,0.8523248868209256,0.6590744466800805
Qwen3-4B,9,50720,0.9434684296135647,0.7338919558359621
Qwen3-8B,0,789610,0.03129148726183354,0.4163637745215993
Qwen3-8B,1,209693,0.14284286283996128,0.4772500751098034
Qwen3-8B,2,184890,0.24723930550766673,0.49241711287792744
Qwen3-8B,3,114309,0.3493269545158299,0.5010366637797549
Qwen3-8B,4,115109,0.43828697487272933,0.5141561476513565
Qwen3-8B,5,153447,0.5465161627467464,0.5230340117434684
Qwen3-8B,6,110937,0.6508052219390285,0.5361060782245779
Qwen3-8B,7,172587,0.7521372146728896,0.5476310498473234
Qwen3-8B,8,177134,0.8559042209922996,0.5700712454977588
Qwen3-8B,9,369884,0.9585229444400136,0.6143385493830498
gemma-3-12b-it,0,1152774,0.015091338826568991,0.38734478744315887
gemma-3-12b-it,1,95537,0.14628212085860715,0.47452819326543644
gemma-3-12b-it,2,63903,0.24598423954078838,0.4909941630283398
gemma-3-12b-it,3,53708,0.34885467917954494,0.5015081552096522
gemma-3-12b-it,4,32348,0.43755126138014716,0.5114690243600841
gemma-3-12b-it,5,56818,0.5354850135520434,0.5142912457319864
gemma-3-12b-it,6,53111,0.6505607065862062,0.5297772589482405
gemma-3-12b-it,7,61318,0.7537975696369744,0.5394990051860792
gemma-3-12b-it,8,88185,0.8520870099081477,0.5516130861257583
gemma-3-12b-it,9,739898,0.9818704159644303,0.6663148163665803
gemma-3-1b-it,0,631112,0.031158985645037926,0.4818526664046952
gemma-3-1b-it,1,180036,0.14334462751546914,0.49001866293407986
gemma-3-1b-it,2,163226,0.24744989668274356,0.492776886035313
gemma-3-1b-it,3,108055,0.3493025650999491,0.49568275415297763
gemma-3-1b-it,4,109931,0.43939970015282315,0.500786857210432
gemma-3-1b-it,5,146008,0.5471238626479371,0.4966097748068599
gemma-3-1b-it,6,115266,0.6509455235607204,0.4967119532212448
gemma-3-1b-it,7,183089,0.7529661121094112,0.4976159135720879
gemma-3-1b-it,8,223718,0.8570426308175918,0.5014169624259112
gemma-3-1b-it,9,537159,0.9575651933947863,0.5294186637476055
gemma-3-27b-it,0,959378,0.0104762532360892,0.3385735341023038
gemma-3-27b-it,1,67364,0.14748528487721557,0.47178017932426813
gemma-3-27b-it,2,48847,0.2462423125716523,0.47894445922984014
gemma-3-27b-it,3,44077,0.34903301324954056,0.4947024525262609
gemma-3-27b-it,4,26046,0.43741691382553943,0.49009444828380555
gemma-3-27b-it,5,48132,0.5340447233649132,0.5002908667830134
gemma-3-27b-it,6,46768,0.6505904979098956,0.5106269243927472
gemma-3-27b-it,7,52885,0.754089799801456,0.5147584381204501
gemma-3-27b-it,8,79556,0.8516011912992106,0.529677208507215
gemma-3-27b-it,9,1024547,0.9876696496720014,0.650932558486824
gemma-3-4b-it,0,1051363,0.021413973062969587,0.4168046621385763
gemma-3-4b-it,1,177532,0.14368530325694803,0.4996057048870063
gemma-3-4b-it,2,144201,0.2465261637293604,0.5218757151476064
gemma-3-4b-it,3,92992,0.3487373871878764,0.534217997247075
gemma-3-4b-it,4,80252,0.43770779271856153,0.5456935652694014
gemma-3-4b-it,5,109552,0.5433750924218635,0.5533992989630495
gemma-3-4b-it,6,82711,0.6503685460519157,0.5627667420294761
gemma-3-4b-it,7,116973,0.7526158881216178,0.5718584630641259
gemma-3-4b-it,8,129188,0.8551054229107967,0.5805105737374988
gemma-3-4b-it,9,412836,0.9667818777462479,0.615510759720567
