model_alias,ideology,target,n,prevalence,positive_rate,mean_p_hate,mean_p_hate_gold,mean_p_hate_nonhate,tp,tn,fp,fn,accuracy,precision,recall,f1
Qwen3-14B,base,asian people,39960,0.5,0.3668168168168168,0.3633201964661009,0.47043911222595947,0.2562012807062423,9610,14932,5048,10370,0.6141641641641642,0.655614681402647,0.48098098098098097,0.5548819215890063
Qwen3-14B,base,women,39960,0.5,0.3608108108108108,0.360432820832795,0.41970154168130874,0.3011640999842812,8451,14013,5967,11529,0.5621621621621622,0.5861423220973783,0.422972972972973,0.4913657770800628
Qwen3-14B,base,christians,39960,0.5,0.24747247247247248,0.2507746132678008,0.35337702987922565,0.14817219665637604,7083,17174,2806,12897,0.607032032032032,0.7162503792092224,0.3545045045045045,0.4742709832937159
Qwen3-14B,base,men,39960,0.5,0.3695945945945946,0.3617889842937688,0.4819026059917621,0.24167536259577557,10020,15231,4749,9960,0.6319069069069069,0.6784481007515742,0.5015015015015015,0.5767072433739101
Qwen3-14B,base,jews,39960,0.5,0.3676676676676677,0.3663019913208631,0.5001337979574342,0.23247018468429198,10332,15620,4360,9648,0.6494494494494495,0.7032398584263545,0.5171171171171172,0.5959852330410708
Qwen3-14B,base,lgbtq+ people,39960,0.5,0.5066566566566567,0.4909667115252059,0.6668433176340522,0.3150901054163595,14076,13810,6170,5904,0.6978478478478478,0.6952484441371135,0.7045045045045045,0.6998458708298115
Qwen3-14B,base,latinx people,39960,0.5,0.41934434434434437,0.4093481126955493,0.5294648211274121,0.28923140426368654,10883,14106,5874,9097,0.6253503503503504,0.6494599271946052,0.5446946946946947,0.5924816942047527
Qwen3-14B,base,white people,39960,0.5,0.35275275275275275,0.34958640525939766,0.42647219004484266,0.2727006204739526,8773,14657,5323,11207,0.5863363363363363,0.6223751418842225,0.4390890890890891,0.5149078530343938
Qwen3-14B,base,black people,39960,0.5,0.4287037037037037,0.4220892451444382,0.5047518350206338,0.3394266552682425,10438,13287,6693,9542,0.5937187187187187,0.609304769131983,0.5224224224224224,0.5625286303252405
Qwen3-14B,base,muslims,39960,0.5,0.3027277277277277,0.30951084915354654,0.3787496620626958,0.24027203624439727,7528,15411,4569,12452,0.5740490490490491,0.6223030503430602,0.3767767767767768,0.46937057704897595
Qwen3-14B,libertarian_right,asian people,39960,0.5,0.3183933933933934,0.3214482583590337,0.42456148130459354,0.21833503541347382,8541,15798,4182,11439,0.6090840840840841,0.6713039377505305,0.4274774774774775,0.5223374002385103
Qwen3-14B,libertarian_right,women,39960,0.5,0.32354854854854853,0.3285541373434606,0.38492129336636105,0.2721869813205602,7623,14674,5306,12357,0.557982982982983,0.5896047644829453,0.3815315315315315,0.46327752286608526
Qwen3-14B,libertarian_right,christians,39960,0.5,0.20192692692692693,0.21373155818165124,0.3049729844471356,0.12249013191616688,5879,17790,2190,14101,0.5923173173173173,0.7285909034576775,0.2942442442442442,0.4191949802131983
Qwen3-14B,libertarian_right,men,39960,0.5,0.32104604604604603,0.3212864952424804,0.43675552698465675,0.20581746350030403,8859,16010,3970,11121,0.6223473473473473,0.6905448593031414,0.4433933933933934,0.540034746563443
Qwen3-14B,libertarian_right,jews,39960,0.5,0.3027277277277277,0.3105796813606858,0.43164476490951514,0.18951459781185642,8688,16571,3409,11292,0.6321071071071072,0.7181945937009175,0.4348348348348348,0.5416965426941422
Qwen3-14B,libertarian_right,lgbtq+ people,39960,0.5,0.41413913913913913,0.40624409660741734,0.5672917627476834,0.2451964304671512,11812,15243,4737,8168,0.6770520520520521,0.7137591395250469,0.5911911911911912,0.6467190451422158
Qwen3-14B,libertarian_right,latinx people,39960,0.5,0.37214714714714714,0.3728757356917178,0.490576900862478,0.25517457052095754,9880,14989,4991,10100,0.6223473473473473,0.6643803375697667,0.4944944944944945,0.5669851654184959
Qwen3-14B,libertarian_right,white people,39960,0.5,0.2856856856856857,0.2936330945895718,0.37013614526740063,0.21713004391174298,7374,15938,4042,12606,0.5833833833833834,0.6459355290819901,0.36906906906906906,0.46974136832717545
Qwen3-14B,libertarian_right,black people,39960,0.5,0.36493993993993995,0.36843349670206343,0.4599847718610897,0.27688222154303715,9350,14747,5233,10630,0.603028028028028,0.6411575121717068,0.46796796796796797,0.541040997598588
Qwen3-14B,libertarian_right,muslims,39960,0.5,0.259034034034034,0.2705102807882282,0.3401501709515149,0.20087039062494152,6645,16274,3706,13335,0.5735485485485485,0.6419669597140373,0.3325825825825826,0.4381655731759586
Qwen3-14B,authoritarian_left,asian people,39960,0.5,0.34524524524524525,0.3495204086537595,0.4527893920083184,0.24625142529920058,9145,15329,4651,10835,0.6124624624624625,0.6628732966077123,0.4577077077077077,0.5415087636191378
Qwen3-14B,authoritarian_left,women,39960,0.5,0.34214214214214217,0.348835646310025,0.4075766037042077,0.2900946889158424,8053,14361,5619,11927,0.5609109109109109,0.5890140433001756,0.40305305305305306,0.478604540591941
Qwen3-14B,authoritarian_left,christians,39960,0.5,0.2091841841841842,0.2200069367766261,0.31277388348295404,0.12723999007029813,6106,17727,2253,13874,0.5964214214214214,0.7304701519320493,0.3056056056056056,0.4309255795899644
Qwen3-14B,authoritarian_left,men,39960,0.5,0.3512762762762763,0.35385018683619446,0.4683953573097577,0.2393050163626313,9496,15439,4541,10484,0.623998998998999,0.6764978271710479,0.4752752752752753,0.5583090807537407
Qwen3-14B,authoritarian_left,jews,39960,0.5,0.3333333333333333,0.34201227863569994,0.46111896535655755,0.22290559191484233,9334,15994,3986,10646,0.6338338338338338,0.7007507507507508,0.46716716716716716,0.5606006006006006
Qwen3-14B,authoritarian_left,lgbtq+ people,39960,0.5,0.4471721721721722,0.43738288723372365,0.6056246870988841,0.26914108736856324,12673,14784,5196,7307,0.6871121121121121,0.7092170798589736,0.6342842842842843,0.6696610214272504
Qwen3-14B,authoritarian_left,latinx people,39960,0.5,0.39346846846846845,0.39505050027364486,0.507882199547551,0.2822188009997388,10276,14533,5447,9704,0.6208458458458459,0.6535648413152706,0.5143143143143143,0.5756379015768983
Qwen3-14B,authoritarian_left,white people,39960,0.5,0.33078078078078077,0.33916853622004794,0.4120288833006247,0.2663081891394712,8258,15020,4960,11722,0.5825325325325326,0.6247541231653806,0.41331331331331334,0.4974998493885174
Qwen3-14B,authoritarian_left,black people,39960,0.5,0.3864864864864865,0.38762361300331694,0.47254412217183156,0.3027031038348023,9686,14222,5758,10294,0.5982982982982983,0.6271691271691272,0.48478478478478476,0.5468608852755195
Qwen3-14B,authoritarian_left,muslims,39960,0.5,0.2988738738738739,0.3098521903149776,0.38050354112972606,0.23920083950022916,7519,15556,4424,12461,0.5774524524524525,0.6295738089257306,0.37632632632632634,0.4710710146289509
Qwen3-14B,authoritarian_right,asian people,39960,0.5,0.3594844844844845,0.35984031643207604,0.46579481791089605,0.2538858149532561,9450,15065,4915,10530,0.6134884884884885,0.6578489383919248,0.47297297297297297,0.5502984422768962
Qwen3-14B,authoritarian_right,women,39960,0.5,0.34977477477477475,0.35370923329416937,0.4139589206652121,0.29345954592312656,8241,14244,5736,11739,0.5626876876876877,0.5896115046147242,0.4124624624624625,0.4853785670112201
Qwen3-14B,authoritarian_right,christians,39960,0.5,0.22647647647647648,0.2376572561678705,0.33593228090334465,0.13938223143239636,6557,17487,2493,13423,0.6017017017017017,0.7245303867403315,0.3281781781781782,0.4517395797450913
Qwen3-14B,authoritarian_right,men,39960,0.5,0.34937437437437435,0.3490288824305401,0.4671477218424236,0.23091004301865656,9538,15557,4423,10442,0.628003003003003,0.6831888833178139,0.4773773773773774,0.5620341180283432
Qwen3-14B,authoritarian_right,jews,39960,0.5,0.3479479479479479,0.3541979607504171,0.4769661883184979,0.23142973318233623,9640,15716,4264,10340,0.6345345345345346,0.693325661680092,0.4824824824824825,0.569000118049817
