model,axis,Ideology,Total Variation,Residual Jitter,Response Entropy,quantization_sd,quantization_k,quantization_chi2,quantization_log10p,language_sd,language_k,language_chi2,language_log10p,context_combo_sd,context_combo_k,context_combo_chi2,context_combo_log10p,instr_combo_sd,instr_combo_k,instr_combo_chi2,instr_combo_log10p,key_type_sd,key_type_k,key_type_chi2,key_type_log10p,perm_id_sd,perm_id_k,perm_id_chi2,perm_id_log10p,persona_combo_sd,persona_combo_k,persona_combo_chi2,persona_combo_log10p
gemma-3-1b-it,econ,0.022482724588379865,1.3195156339680507,0.7391759072810632,1.0851678663154358,0.048521073423126206,6,22.63917142876006,-1.5093363447912362,0.11168238492138996,6,30.334404651653145,-2.6044675926802316,0.0654917192446,6,18.610624782201874,-1.007143718660351,0.10579075429739904,6,42.10575548005061,-4.495286824844396,0.07100572808675856,6,39.881126985755344,-4.123495815751702,0.09060735225709117,6,63.33709844337755,-8.257693537914582,0.07223817717213801,5,13.603699717803693,-0.7170441022080143
gemma-3-4b-it,econ,0.7601794588429358,1.6280821336112228,1.183749958135778,0.964679628417697,0.122022514171215,6,47.34594814631235,-5.3914171283986105,0.3642768471227996,6,301.23312621321685,-56.58719883517072,0.30839532740211467,6,299.247327694658,-56.17025281878894,0.317525709193766,6,247.48416029640111,-45.33933536155884,0.11087960515236435,6,35.95106597451155,-3.4816003010699137,0.17520498574029333,6,111.11222154396579,-17.443090459726193,0.2587678988371159,5,144.48651602897348,-25.295494501901405
gemma-3-12b-it,econ,4.688741248561461,1.9020126181491417,1.4276456492725607,0.8766790820110546,0.21331134831025872,6,115.88139911422303,-18.389138643433824,0.6013989364966628,6,668.092206132575,-134.52799873533775,0.46725972172152075,6,525.8222304460448,-104.1526765821534,0.42454878039335253,6,358.4603236155181,-68.6385789661492,0.22006465545702378,6,109.40183890478878,-17.104727215153698,0.23503437870880908,6,137.20788590810236,-22.65940384237362,0.8644052850638898,5,1355.3178388449692,-284.35712864561293
gemma-3-27b-it,econ,5.93537180131803,1.86598048612961,1.2900942203445254,0.7318467721275126,0.13610237963220065,6,55.350652381383156,-6.805237793348688,0.681596042000053,6,1056.989438075516,-217.98219772537723,0.49591348517955264,6,640.4726975931886,-128.62189468056806,0.728843281506164,6,1222.9230903482608,-253.69815046709505,0.1179592539818429,6,35.08489964636839,-3.342993206468431,0.29703452239005185,6,264.14132397771596,-48.81608044868346,0.8611157663106087,5,1541.2288334600082,-324.5064515843385
Qwen3-4B,econ,0.9689827412547869,2.004845636745341,1.1231975566406045,1.4171094238568651,0.16073708117621122,6,130.132487865585,-21.2361689049099,0.6292738695172415,6,1034.731504796291,-213.19507491002122,0.22676556108497406,6,134.6790325141812,-22.150045091782587,0.37781731761391973,6,460.94535384659736,-90.34961263697683,0.13020312242648205,6,53.78028944728572,-6.5241931816209275,0.4215053530674949,6,681.8395590033907,-137.46910176639895,0.4296384022818029,5,564.7767784907986,-114.21036963483647
Qwen3-8B,econ,1.861774848242341,2.131104602386288,1.1468864212507108,1.4612472636739888,0.15706120755136307,6,89.1894209392264,-13.149665756106334,0.860604948545695,6,1842.7586416200702,-387.4069437094251,0.2505520254930546,6,200.19662884281817,-35.527173984982674,0.4453720379491742,6,567.4160552376084,-113.01995959537797,0.13854068780002432,6,53.158772166854206,-6.413423483056716,0.3300829910358055,6,384.41062713101985,-74.12267544147382,0.6248701369280121,5,1204.740393518302,-251.86392116555913
Qwen3-14B,econ,2.5472160922666465,2.2692489662844793,1.2376246285791668,1.551423866974628,0.1329970189522594,6,60.87709452183698,-7.806493048435615,0.7665713599256668,6,1364.3454948816807,-284.1703791644468,0.30733961956444655,6,292.62073085711654,-54.7795962185471,0.49787241607036054,6,711.3750377877318,-143.79083409209122,0.3159855247537772,6,312.52321241486356,-58.959443185106515,0.48722861132461,6,701.4832794560828,-141.6731857326846,0.7353289030281747,5,1312.6576856594493,-275.1490691975087
Qwen3-32B,econ,3.86543459524953,2.277037943568878,1.2310572171672385,1.4584570921974318,0.1036177957888718,6,44.53901319556138,-4.908077279286801,0.7909554974129861,6,1440.9634098660367,-300.68927502991613,0.3219524234892808,6,388.73021174469284,-75.03652426619571,0.7460940355651527,6,1578.931700815947,-330.4531769860036,0.489883750348365,6,728.6540620608905,-147.49095867539728,0.2809076069310553,6,262.48726930350546,-48.47044159465791,0.7706076783362147,5,1490.1168236472677,-313.46620690299693
gemma-3-1b-it,soc,0.07818187418254573,3.2256001139224453,2.7517546029625146,0.6943390814887944,0.05191473151437607,6,1.9004089240286368,-0.00019810470064155278,0.5554682436196021,6,91.1540472736404,-13.530085378788398,0.24268838994486966,6,18.908873373701727,-1.0421463943329519,0.5336176422765327,6,108.68227549147191,-16.962528172600226,0.13646366522086964,6,8.477385937440252,-0.1267952158589681,1.429235974326876,6,1252.2343868229623,-260.01166875215637,0.276521056799768,5,12.932843014705057,-0.6431122995351346
gemma-3-4b-it,soc,1.0569548718654826,2.7269559824729996,2.236713115218481,0.6379826370379841,0.16882353997682342,6,28.08049959782709,-2.268897227670866,0.6380586459035174,6,248.4976111172996,-45.55060266384721,0.6638984237800293,6,395.5072672245392,-76.47080667004867,0.904219616194735,6,666.7310533648931,-134.23684338822275,0.19208541341542118,6,31.563823674185063,-2.791796303259013,0.7330050477755107,6,544.3162905217697,-108.09383253170306,0.49998393648574735,5,168.6251313987592,-30.27227772845874
gemma-3-12b-it,soc,3.7089050886647854,2.2212949333278478,1.6606062164438735,0.5582570605117986,0.12578995665280682,6,32.93272908647822,-3.0036231822782846,0.6294129513497217,6,527.4841559206166,-104.5067330518801,0.7873587841805224,6,933.4864092921384,-191.43312212041525,0.8490716790647465,6,956.9566247723753,-196.47580821597896,0.20419345440255604,6,82.43100053839527,-11.848934726328519,0.45126105880526596,6,365.83400874833825,-70.19578768245931,0.7221346743434114,5,607.8191981357609,-123.42976057652683
gemma-3-27b-it,soc,4.865664337522305,2.124613609729338,1.5131168660048075,0.4994428325321987,0.16611820312151385,6,71.5577553630702,-9.786375076384365,0.6173614897451348,6,665.5508651656727,-133.9844042761404,0.7779108384711424,6,1110.036325610272,-229.3950477180986,0.9552667057093696,6,1430.7008057251383,-298.4762778024093,0.1771153836625617,6,60.924455446525094,-7.815149566763604,0.35762743422533805,6,301.65742314193886,-56.67629798606976,0.6749696409429026,5,746.8349815459436,-153.2599237632053
Qwen3-4B,soc,1.08709058610737,2.579225016541915,2.1122900501067607,0.9225366058258366,0.1942581969449526,6,48.625201837055386,-5.614024385025742,0.8325524515795483,6,575.9577485394077,-114.84243440604376,0.40855553862141436,6,140.35756653236967,-23.294805600625878,0.5539573271653201,6,238.2924094719369,-43.424864364949435,0.22643028813714206,6,56.13839845917293,-6.946827683465516,0.5470593808969291,6,321.68249349957193,-60.886033241634195,0.4479417976539137,5,148.7604860184052,-26.17364364294505
Qwen3-8B,soc,1.5621973844929227,2.486310489885101,1.9194115587675364,0.9630259418369894,0.183858712185104,6,43.91016758722756,-4.800817883525975,0.8871806078070579,6,745.0099037788638,-150.99451321569467,0.5056178182428518,6,328.22338617880433,-62.26293358582499,0.5522392787570569,6,287.81479526498896,-53.771707483737856,0.12781125159260293,6,16.769232199271645,-0.8000086729530989,0.5919461001635549,6,476.00531643900047,-93.55033206841095,0.5212390058774954,5,293.98026360360836,-56.53616330714963
Qwen3-14B,soc,2.35216167476107,2.345010725470471,1.64311474447252,1.015969755605614,0.1196825771771483,6,26.74071643573595,-2.0747325024137133,0.7802737673794613,6,874.1270419641812,-178.68574846754908,0.4930393954564358,6,392.23356502766694,-75.77788678663345,0.6658490652146266,6,669.3676945611783,-134.8008383116716,0.2954539087791107,6,151.85142018592688,-25.622187704126695,0.7075728804583551,6,857.3449685855736,-175.0835643704401,0.646391062357942,5,633.0112895614941,-128.82983450148356
Qwen3-32B,soc,3.1431989290712474,2.219956920125269,1.5784827354353574,0.9524818261401139,0.09505604077294143,6,20.767708131719562,-1.2685140449949002,0.5458965599765638,6,442.8567701708373,-86.50826741183974,0.4779116175973593,6,436.6518778674546,-85.19139069021693,0.8402797688977817,6,1192.3210208220562,-247.10793362382478,0.480091660605807,6,467.38557748676266,-91.71809161227912,0.42167611721038045,6,342.521313525382,-65.27566089895696,0.7614574256140569,5,859.4885683122595,-177.47889029982238
