feature,model_variant,family,protocol,size_b,regime,analysis_scope,questions,informative_questions,substantive_pockets,right_more_pockets,left_more_pockets,mean_risk_difference,median_risk_difference,max_abs_risk_difference,informative_fraction,pocket_fraction_of_informative
actual_refusal,Qwen3-14B_no_think,Qwen3,no_think,14.0,authoritarian,primary,62,0,0,0,0,0.0,0.0,0.006666666666666667,0.0,
actual_refusal,Qwen3-14B_no_think,Qwen3,no_think,14.0,libertarian,primary,62,0,0,0,0,0.00021505376344086024,0.0,0.01,0.0,
actual_refusal,Qwen3-14B_think,Qwen3,think,14.0,authoritarian,primary,62,0,0,0,0,0.0,0.0,0.0,0.0,
actual_refusal,Qwen3-14B_think,Qwen3,think,14.0,libertarian,primary,62,0,0,0,0,-0.00016129032258064516,0.0,0.006666666666666667,0.0,
actual_refusal,Qwen3-32B_no_think,Qwen3,no_think,32.0,authoritarian,primary,62,0,0,0,0,0.00016129032258064516,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-32B_no_think,Qwen3,no_think,32.0,libertarian,primary,62,0,0,0,0,0.0,0.0,0.006666666666666667,0.0,
actual_refusal,Qwen3-32B_think,Qwen3,think,32.0,authoritarian,primary,62,0,0,0,0,5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-32B_think,Qwen3,think,32.0,libertarian,primary,62,0,0,0,0,-0.0001075268817204301,0.0,0.01,0.0,
actual_refusal,Qwen3-4B_no_think,Qwen3,no_think,4.0,authoritarian,primary,62,0,0,0,0,-5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-4B_no_think,Qwen3,no_think,4.0,libertarian,primary,62,0,0,0,0,-5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-4B_think,Qwen3,think,4.0,authoritarian,primary,62,0,0,0,0,0.0,0.0,0.0,0.0,
actual_refusal,Qwen3-4B_think,Qwen3,think,4.0,libertarian,primary,62,0,0,0,0,-5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-8B_no_think,Qwen3,no_think,8.0,authoritarian,primary,62,0,0,0,0,0.00010752688172043012,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-8B_no_think,Qwen3,no_think,8.0,libertarian,primary,62,0,0,0,0,5.376344086021506e-05,0.0,0.0033333333333333335,0.0,
actual_refusal,Qwen3-8B_think,Qwen3,think,8.0,authoritarian,primary,62,0,0,0,0,0.0,0.0,0.0,0.0,
actual_refusal,Qwen3-8B_think,Qwen3,think,8.0,libertarian,primary,62,0,0,0,0,0.00010752688172043012,0.0,0.0033333333333333335,0.0,
actual_refusal,gemma-3-12b-it,Gemma-3,standard,12.0,authoritarian,primary,62,0,0,0,0,-1.3989705451425863e-20,0.0,0.013333333333333334,0.0,
actual_refusal,gemma-3-12b-it,Gemma-3,standard,12.0,libertarian,primary,62,0,0,0,0,0.0010215053763440861,0.0,0.023333333333333334,0.0,
actual_refusal,gemma-3-1b-it,Gemma-3,standard,1.0,authoritarian,primary,62,0,0,0,0,-0.00010752688172043012,0.0,0.006666666666666667,0.0,
actual_refusal,gemma-3-1b-it,Gemma-3,standard,1.0,libertarian,primary,62,0,0,0,0,0.0,0.0,0.0033333333333333335,0.0,
actual_refusal,gemma-3-27b-it,Gemma-3,standard,27.0,authoritarian,primary,62,0,0,0,0,-0.00026881720430107527,0.0,0.006666666666666667,0.0,
actual_refusal,gemma-3-27b-it,Gemma-3,standard,27.0,libertarian,primary,62,0,0,0,0,-0.0009677419354838711,0.0,0.02666666666666667,0.0,
actual_refusal,gemma-3-4b-it,Gemma-3,standard,4.0,authoritarian,primary,62,0,0,0,0,0.0,0.0,0.0033333333333333335,0.0,
actual_refusal,gemma-3-4b-it,Gemma-3,standard,4.0,libertarian,primary,62,0,0,0,0,-0.00026881720430107527,0.0,0.0033333333333333335,0.0,
hedging,Qwen3-14B_no_think,Qwen3,no_think,14.0,authoritarian,primary,62,62,47,33,14,0.06709677419354838,0.09166666666666667,0.33666666666666667,1.0,0.7580645161290323
hedging,Qwen3-14B_no_think,Qwen3,no_think,14.0,libertarian,primary,62,62,50,35,15,0.05790322580645161,0.06833333333333333,0.24666666666666667,1.0,0.8064516129032258
