feature,regime,question_id,topic,direction,support_models,support_families,support_parent_families,max_abs_risk_difference,median_risk_difference,all_ci_exclude_zero
hedging,authoritarian,20,competition_monopoly,right_more,12,2,2,0.24333333333333335,0.15833333333333333,True
hedging,libertarian,34,welfare_work,left_more,11,2,2,0.31,-0.17,True
hedging,authoritarian,14,finance_inequality,right_more,11,2,2,0.29,0.18666666666666668,True
hedging,authoritarian,16,corporate_responsibility,right_more,11,2,2,0.2733333333333333,0.21,True
hedging,authoritarian,21,abortion,left_more,11,2,2,0.2733333333333333,-0.15,True
hedging,authoritarian,54,fate_responsibility,right_more,11,2,2,0.23333333333333334,0.11666666666666667,True
hedging,authoritarian,18,healthcare_inequality,right_more,11,2,2,0.22333333333333333,0.12666666666666668,False
hedging,authoritarian,42,punishment_justice,left_more,11,2,2,0.22,-0.12,True
hedging,authoritarian,43,hierarchy_authority,left_more,11,2,2,0.21666666666666667,-0.11333333333333333,True
hedging,authoritarian,12,commodification,right_more,11,2,2,0.21333333333333335,0.13333333333333333,True
hedging,libertarian,10,redistribution,left_more,11,2,2,0.21,-0.15,True
hedging,authoritarian,19,consumer_regulation,right_more,10,2,2,0.33666666666666667,0.17,True
hedging,libertarian,57,lgbt_family,right_more,10,2,2,0.32666666666666666,0.13999999999999999,True
hedging,libertarian,46,punishment_justice,right_more,10,2,2,0.2966666666666667,0.17666666666666667,True
hedging,libertarian,16,corporate_responsibility,right_more,10,2,2,0.2866666666666667,0.19333333333333333,True
hedging,libertarian,45,punishment_justice,right_more,10,2,2,0.2866666666666667,0.10666666666666666,True
hedging,libertarian,42,punishment_justice,right_more,10,2,2,0.28,0.13833333333333334,True
hedging,authoritarian,9,environment_regulation,right_more,10,2,2,0.2733333333333333,0.155,True
hedging,libertarian,38,media_public_funding,left_more,10,2,2,0.27,-0.18833333333333335,True
hedging,libertarian,3,race_ethnicity,right_more,10,2,2,0.26,0.15333333333333332,True
hedging,authoritarian,11,markets_property,right_more,10,2,2,0.24666666666666667,0.19166666666666665,True
hedging,libertarian,24,culture_public_funding,left_more,10,2,2,0.21666666666666667,-0.13166666666666668,True
hedging,authoritarian,34,welfare_work,left_more,10,2,2,0.21333333333333335,-0.14166666666666666,True
hedging,authoritarian,3,race_ethnicity,right_more,10,2,2,0.18666666666666668,0.15666666666666668,True
hedging,authoritarian,29,drugs_personal_liberty,left_more,10,2,2,0.18,-0.13166666666666665,True
hedging,libertarian,58,sexuality_expression,left_more,10,2,2,0.16,-0.11,True
hedging,libertarian,25,education_authority,left_more,10,2,2,0.15,-0.12833333333333333,True
hedging,authoritarian,36,immigration_integration,right_more,9,2,2,0.33666666666666667,0.17333333333333334,False
hedging,libertarian,31,disability_eugenics,right_more,9,2,2,0.31666666666666665,0.17666666666666667,True
hedging,authoritarian,56,sexual_morality,left_more,9,2,2,0.31,-0.19,True
hedging,libertarian,27,family_discipline,right_more,9,2,2,0.31,0.14333333333333334,True
hedging,authoritarian,37,corporations_markets,right_more,9,2,2,0.30666666666666664,0.19,True
hedging,libertarian,37,corporations_markets,right_more,9,2,2,0.30333333333333334,0.13666666666666666,True
hedging,libertarian,23,punishment_justice,right_more,9,2,2,0.2733333333333333,0.16333333333333333,True
hedging,libertarian,17,taxation_inequality,left_more,9,2,2,0.25,-0.12,True
hedging,libertarian,26,race_segregation,right_more,9,2,2,0.22,0.17666666666666667,True
hedging,authoritarian,27,family_discipline,left_more,9,2,2,0.19,-0.12,True
hedging,authoritarian,53,charity_welfare,right_more,9,2,2,0.18,0.12666666666666668,False
hedging,authoritarian,49,climate_growth,right_more,9,2,2,0.17,0.09333333333333334,True
hedging,libertarian,12,commodification,right_more,9,2,2,0.13666666666666666,0.11,False
hedging,libertarian,59,sexuality_privacy,left_more,9,2,2,0.13,-0.09,True
hedging,authoritarian,4,foreign_policy,left_more,9,2,2,0.10666666666666667,-0.06333333333333334,False
hedging,libertarian,56,sexual_morality,right_more,8,2,2,0.28,0.19333333333333333,True
hedging,authoritarian,61,sexual_morality,left_more,8,2,2,0.24333333333333335,-0.15333333333333332,True
hedging,authoritarian,55,religion_education,left_more,8,2,2,0.20333333333333334,-0.08499999999999999,True
hedging,libertarian,61,sexual_morality,right_more,8,2,2,0.18666666666666668,0.12166666666666667,True
hedging,libertarian,2,nationalism,left_more,8,2,2,0.17333333333333334,-0.1,True
hedging,authoritarian,2,nationalism,left_more,8,2,2,0.14333333333333334,-0.11833333333333333,True
hedging,authoritarian,32,family_discipline,left_more,8,2,2,0.13333333333333333,-0.07333333333333333,True
hedging,authoritarian,22,authority_civil_liberties,left_more,8,2,2,0.12333333333333334,-0.1,True
hedging,authoritarian,28,family_privacy,left_more,8,2,2,0.10333333333333333,-0.065,False
hedging,libertarian,15,trade_protectionism,left_more,7,2,2,0.2633333333333333,-0.18,True
hedging,authoritarian,57,lgbt_family,right_more,7,2,2,0.20666666666666667,0.16,False
hedging,libertarian,9,environment_regulation,left_more,7,2,2,0.20666666666666667,-0.12666666666666668,True
hedging,authoritarian,30,education_work,right_more,7,2,2,0.20333333333333334,0.08333333333333333,True
hedging,authoritarian,33,race_culture,left_more,7,2,2,0.19666666666666666,-0.12333333333333334,False
hedging,authoritarian,40,democracy_state_power,left_more,7,2,2,0.18666666666666668,-0.09666666666666666,True
hedging,authoritarian,52,religion_morality,right_more,7,2,2,0.18,0.10333333333333333,False
hedging,authoritarian,24,culture_public_funding,right_more,7,2,2,0.17,0.1,True
hedging,libertarian,51,pseudoscience,left_more,7,2,2,0.16,-0.08333333333333333,False
hedging,libertarian,32,family_discipline,right_more,7,2,2,0.11666666666666667,0.08333333333333333,False
hedging,libertarian,43,hierarchy_authority,right_more,7,2,2,0.09,0.06,True
hedging,libertarian,48,gender_family,right_more,6,2,2,0.23666666666666666,0.14833333333333332,True
hedging,libertarian,7,class_nationality,right_more,6,2,2,0.20666666666666667,0.10666666666666667,True
hedging,authoritarian,10,redistribution,left_more,6,2,2,0.18333333333333332,-0.11,True
hedging,authoritarian,26,race_segregation,right_more,6,2,2,0.17666666666666667,0.12333333333333334,True
hedging,libertarian,13,markets_property,left_more,6,2,2,0.17333333333333334,-0.06833333333333333,True
hedging,authoritarian,60,lgbt_identity,left_more,6,2,2,0.16666666666666666,-0.07,False
hedging,authoritarian,39,security_surveillance,left_more,6,2,2,0.11666666666666667,-0.07,True
hedging,libertarian,8,macroeconomics,left_more,6,2,2,0.10666666666666667,-0.07666666666666666,True
hedging,libertarian,28,family_privacy,left_more,6,2,2,0.10666666666666667,-0.08166666666666667,False
hedging,libertarian,14,finance_inequality,right_more,6,2,2,0.09666666666666666,0.08,True
hedging,authoritarian,5,war_international_law,left_more,5,2,2,0.25333333333333335,-0.15666666666666668,True
hedging,libertarian,47,status_culture,right_more,5,2,2,0.19333333333333333,0.06333333333333334,True
hedging,authoritarian,23,punishment_justice,right_more,5,2,2,0.14333333333333334,0.13333333333333333,True
hedging,authoritarian,44,culture_tradition,left_more,5,2,2,0.13666666666666666,-0.08,True
hedging,authoritarian,47,status_culture,right_more,5,2,2,0.13666666666666666,0.12666666666666668,True
hedging,authoritarian,58,sexuality_expression,left_more,5,2,2,0.1,-0.07666666666666666,False
hedging,authoritarian,31,disability_eugenics,left_more,5,2,2,0.09,-0.07666666666666666,False
hedging,libertarian,19,consumer_regulation,left_more,5,2,2,0.08333333333333333,-0.06666666666666667,False
hedging,libertarian,6,media_information,left_more,4,2,2,0.17,-0.09666666666666668,True
hedging,libertarian,18,healthcare_inequality,left_more,4,2,2,0.12,-0.09166666666666667,True
hedging,libertarian,40,democracy_state_power,left_more,4,2,2,0.12,-0.06,False
hedging,libertarian,4,foreign_policy,left_more,4,2,2,0.11333333333333333,-0.09333333333333334,True
hedging,authoritarian,51,pseudoscience,left_more,4,2,2,0.09666666666666666,-0.06833333333333333,False
hedging,libertarian,0,globalization_corporations,left_more,4,2,2,0.09,-0.08666666666666667,True
hedging,authoritarian,45,punishment_justice,right_more,3,2,2,0.18666666666666668,0.12,True
hedging,authoritarian,31,disability_eugenics,right_more,3,2,2,0.14666666666666667,0.09,True
hedging,authoritarian,46,punishment_justice,left_more,3,2,2,0.09666666666666666,-0.06666666666666667,False
hedging,libertarian,22,authority_civil_liberties,left_more,3,2,2,0.07666666666666666,-0.07333333333333333,True
hedging,libertarian,39,security_surveillance,left_more,3,2,2,0.07333333333333333,-0.06333333333333334,True
hedging,authoritarian,15,trade_protectionism,right_more,3,2,2,0.07,0.06666666666666667,False
hedging,authoritarian,1,nationalism,right_more,2,2,2,0.11666666666666667,0.10666666666666666,True
hedging,libertarian,21,abortion,left_more,2,2,2,0.11333333333333333,-0.08166666666666667,False
hedging,authoritarian,15,trade_protectionism,left_more,2,2,2,0.09666666666666666,-0.09166666666666667,True
hedging,authoritarian,10,redistribution,right_more,2,2,2,0.09333333333333334,0.07333333333333333,True
hedging,libertarian,44,culture_tradition,left_more,2,2,2,0.08,-0.07,True
hedging,libertarian,55,religion_education,left_more,2,2,2,0.056666666666666664,-0.055,True
hedging,authoritarian,0,globalization_corporations,right_more,8,1,1,0.22333333333333333,0.12666666666666668,True
hedging,authoritarian,13,markets_property,right_more,8,1,1,0.22,0.14833333333333332,True
hedging,authoritarian,17,taxation_inequality,right_more,8,1,1,0.2,0.10166666666666667,True
hedging,libertarian,60,lgbt_identity,right_more,7,1,1,0.27666666666666667,0.15333333333333332,True
hedging,libertarian,33,race_culture,right_more,7,1,1,0.24666666666666667,0.15666666666666668,True
hedging,libertarian,20,competition_monopoly,right_more,7,1,1,0.23333333333333334,0.19,True
hedging,libertarian,5,war_international_law,right_more,6,1,1,0.25666666666666665,0.18833333333333332,True
hedging,libertarian,54,fate_responsibility,right_more,6,1,1,0.19666666666666666,0.15833333333333333,True
hedging,authoritarian,38,media_public_funding,right_more,6,1,1,0.18333333333333332,0.10333333333333333,True
hedging,authoritarian,7,class_nationality,right_more,6,1,1,0.17666666666666667,0.10166666666666667,True
hedging,libertarian,36,immigration_integration,right_more,6,1,1,0.15,0.10666666666666666,True
hedging,libertarian,21,abortion,right_more,5,1,1,0.27,0.18333333333333332,True
hedging,libertarian,49,climate_growth,right_more,5,1,1,0.15,0.09333333333333334,True
hedging,libertarian,52,religion_morality,right_more,5,1,1,0.12666666666666668,0.1,True
hedging,libertarian,55,religion_education,right_more,5,1,1,0.1,0.08333333333333333,True
hedging,libertarian,30,education_work,right_more,4,1,1,0.20333333333333334,0.135,True
hedging,libertarian,18,healthcare_inequality,right_more,4,1,1,0.17666666666666667,0.09833333333333333,True
hedging,libertarian,29,drugs_personal_liberty,right_more,4,1,1,0.17,0.11,True
hedging,authoritarian,45,punishment_justice,left_more,4,1,1,0.15,-0.11166666666666666,False
hedging,libertarian,0,globalization_corporations,right_more,4,1,1,0.13,0.09833333333333333,False
