feature,size_b,regime,questions,both_informative,risk_difference_correlation,both_substantive,same_direction_substantive,opposite_direction_substantive,think_only_substantive,no_think_only_substantive
actual_refusal,4.0,authoritarian,62,0,,0,0,0,0,0
actual_refusal,4.0,libertarian,62,0,,0,0,0,0,0
actual_refusal,8.0,authoritarian,62,0,,0,0,0,0,0
actual_refusal,8.0,libertarian,62,0,,0,0,0,0,0
actual_refusal,14.0,authoritarian,62,0,,0,0,0,0,0
actual_refusal,14.0,libertarian,62,0,,0,0,0,0,0
actual_refusal,32.0,authoritarian,62,0,,0,0,0,0,0
actual_refusal,32.0,libertarian,62,0,,0,0,0,0,0
hedging,4.0,authoritarian,62,62,0.742130328918334,22,22,0,8,12
hedging,4.0,libertarian,62,62,0.7178490305528592,23,23,0,9,12
hedging,8.0,authoritarian,62,62,0.8258194048547997,36,35,1,12,5
hedging,8.0,libertarian,62,62,0.8396320158778957,37,37,0,8,10
hedging,14.0,authoritarian,62,62,0.835172309290104,42,40,2,12,5
hedging,14.0,libertarian,62,62,0.8569317430373141,42,41,1,8,8
hedging,32.0,authoritarian,62,62,0.8417648469801668,41,40,1,5,9
hedging,32.0,libertarian,62,62,0.8506044025048811,39,38,1,5,12
moral_distance,4.0,authoritarian,62,0,,0,0,0,0,0
moral_distance,4.0,libertarian,62,0,,0,0,0,0,0
moral_distance,8.0,authoritarian,62,0,,0,0,0,0,0
moral_distance,8.0,libertarian,62,0,,0,0,0,0,0
moral_distance,14.0,authoritarian,62,0,,0,0,0,0,0
moral_distance,14.0,libertarian,62,0,,0,0,0,0,1
moral_distance,32.0,authoritarian,62,0,,0,0,0,0,0
moral_distance,32.0,libertarian,62,0,,0,0,0,0,1
persona_meta,4.0,authoritarian,62,62,0.11711313105063866,9,9,0,11,22
persona_meta,4.0,libertarian,62,62,0.31416254923175435,0,0,0,6,6
persona_meta,8.0,authoritarian,62,62,0.2823843409596685,7,7,0,4,12
persona_meta,8.0,libertarian,62,62,0.36284113116018263,2,2,0,8,13
persona_meta,14.0,authoritarian,62,62,0.280614613886676,1,1,0,11,7
persona_meta,14.0,libertarian,62,62,0.4721985249508091,7,6,1,19,7
persona_meta,32.0,authoritarian,62,62,0.21044572795794808,9,8,1,6,31
persona_meta,32.0,libertarian,62,62,0.4341186058201073,22,5,17,3,36
self_correction,4.0,authoritarian,62,0,,0,0,0,0,0
self_correction,4.0,libertarian,62,0,,0,0,0,0,1
self_correction,8.0,authoritarian,62,0,,0,0,0,0,0
self_correction,8.0,libertarian,62,0,,0,0,0,0,1
self_correction,14.0,authoritarian,62,0,,0,0,0,0,0
self_correction,14.0,libertarian,62,0,,0,0,0,0,0
self_correction,32.0,authoritarian,62,0,,0,0,0,0,0
self_correction,32.0,libertarian,62,1,,0,0,0,1,0
