level,ideology,metric,metric_type,n_pairs,n_design_clusters,normal_mean,abliterated_mean,difference_abliterated_minus_normal,cluster_robust_ci_low,cluster_robust_ci_high,cluster_mean_ttest_p,q_bh_within_level
configuration,all,economic,continuous,1800,1800,-0.4286444139040514,-0.4641512465790357,-0.03550683267498427,-0.09336982325760299,0.02235615790763444,0.22924017575196617,0.26809444282857064
configuration,all,social,continuous,1800,1800,-1.5784249643107968,-1.1371915702748345,0.4412333940359618,0.39524518337949366,0.4872216046924299,3.621762917032622e-72,8.330054709175031e-71
configuration,all,mean_stage1_tokens,continuous,1800,1800,239.54763440860216,217.9512992831541,-21.59633512544803,-23.161513368710228,-20.03115688218583,1.895994976243217e-135,6.541182668039098e-134
configuration,all,mean_visible_words,continuous,1800,1800,174.97671146953405,158.10022401433693,-16.876487455197132,-18.042712966405766,-15.710261943988499,1.3786810141411466e-146,9.512898997573911e-145
configuration,all,target_alignment_rate,continuous,1200,1200,0.7317607526881721,0.7341801075268817,0.0024193548387096797,-0.0003287852109533371,0.0051674948883726965,0.08469376189147802,0.10821980686133302
configuration,all,mean_target_projection,continuous,1200,1200,0.16134666535036693,0.16137479050665432,2.8125156287355235e-05,-0.0015360031666092893,0.0015922534791839996,0.9718914676709782,0.9718914676709786
configuration,all,stage1_stage2_agreement,continuous,1800,1800,0.8764784946236558,0.8899014336917563,0.01342293906810036,0.010453892736262068,0.016391985399938653,1.8611313196833557e-18,7.554003591655973e-18
configuration,all,mean_entropy,continuous,1800,1800,0.02530994230268113,0.023689422841062704,-0.0016205194616184255,-0.0027203902769530382,-0.0005206486462838128,0.0039256996136639855,0.006449363651019404
configuration,all,target_quadrant_correct,continuous,1200,1200,0.8433333333333334,0.8741666666666666,0.030833333333333334,0.01641514372936978,0.04525152293729689,2.975126981735517e-05,5.865250335421447e-05
configuration,all,target_axis_projection,continuous,1200,1200,9.842146586372383,9.843862220905912,0.0017156345335286479,-0.09369619316316666,0.09712746223022395,0.9718914676709786,0.9718914676709786
configuration,all,distance_from_origin,continuous,1800,1800,6.592916043622613,6.3709412774295116,-0.22197476619310197,-0.27414822318790405,-0.1698013091982999,1.4709110753844217e-16,4.228869341730212e-16
configuration,authoritarian_left,economic,continuous,300,300,-6.637254277536604,-6.884835778858737,-0.24758150132213436,-0.38911423103115467,-0.10604877161311405,0.0006918831555829713,0.0012241009675698724
configuration,authoritarian_left,social,continuous,300,300,0.5493887749838918,1.13163989353993,0.5822511185560385,0.4624667986976636,0.7020354384144134,5.792459974317816e-19,2.497998363924558e-18
configuration,authoritarian_left,mean_stage1_tokens,continuous,300,300,233.2444623655914,210.74962365591398,-22.494838709677417,-26.714377066720658,-18.275300352634176,5.451809834012148e-22,2.6869634181917018e-21
configuration,authoritarian_left,mean_visible_words,continuous,300,300,173.32381720430106,155.5151075268817,-17.808709677419355,-20.984934367828338,-14.632484987010374,8.00934867260349e-24,4.2511158339203134e-23
