scope,ideology,phrase,ngram_n,discovery_log_odds,confirmation_log_odds,same_direction,target_confirmation_df,other_confirmation_df,target_confirmation_rate,other_confirmation_rate,odds_ratio,p_value,q_value_bh,confirmed_q05
all,authoritarian_left,rights,1,9.92757599695249,10.597681745415066,True,6034,0,0.09577777777777778,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left prioritizes,3,9.968763257343252,10.179996370405352,True,4108,0,0.06520634920634921,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left political,3,9.965846324284296,10.159240142531683,True,4029,0,0.06395238095238095,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left's,2,9.446337017140959,9.759340140418255,True,2759,0,0.043793650793650794,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left typically,3,9.407475037837179,9.653989631137552,True,2494,0,0.03958730158730159,0.0,inf,0.0,0.0,True
all,authoritarian_left,the authoritarian left's,3,8.930058288520378,9.270402757767194,True,1721,0,0.027317460317460317,0.0,inf,0.0,0.0,True
all,authoritarian_left,rights and,2,8.723855358870601,9.121180615382467,True,1488,0,0.02361904761904762,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left ideologies,3,8.589357963564545,9.10802508817043,True,1469,0,0.023317460317460317,0.0,inf,0.0,0.0,True
all,authoritarian_left,human rights,2,7.965941129304983,9.053687071665834,True,1393,0,0.022111111111111113,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left often,3,8.580052639072914,8.816581228697945,True,1104,0,0.017523809523809525,0.0,inf,0.0,0.0,True
all,authoritarian_left,an authoritarian leftist,3,8.509968257120466,8.740101527861544,True,1024,0,0.016253968253968253,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left believe,3,8.480806805486937,8.680887457870913,True,966,0,0.015333333333333332,0.0,inf,0.0,0.0,True
all,authoritarian_left,corporate power,2,8.124925935434613,8.661797829566172,True,948,0,0.015047619047619048,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left framework,3,8.4020050915493,8.64670207712774,True,934,0,0.014825396825396825,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left's emphasis,3,8.31667822391755,8.629174600091233,True,918,0,0.014571428571428572,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left my,3,8.174598508556631,8.504842660131093,True,812,0,0.012888888888888889,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left standpoint,3,8.184936328135723,8.419061636209271,True,746,0,0.011841269841269842,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left emphasizes,3,8.095420432646872,8.320967832141282,True,677,0,0.010746031746031746,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left values,3,7.9158842075129785,8.282968366217501,True,652,0,0.01034920634920635,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left prioritize,3,8.005516277429749,8.268934914570112,True,643,0,0.010206349206349207,0.0,inf,0.0,0.0,True
all,authoritarian_left,rights of,2,7.904669142084492,8.249918409078065,True,631,0,0.010015873015873016,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left generally,3,7.957410236827421,8.178708191992337,True,588,0,0.009333333333333334,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left emphasis,3,7.984878707183145,8.149123404282065,True,571,0,0.009063492063492063,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left seeks,3,8.027745850302821,8.102145343241883,True,545,0,0.00865079365079365,0.0,inf,0.0,0.0,True
all,authoritarian_left,authoritarian left principles,3,7.756858491819542,8.013313882752982,True,499,0,0.00792063492063492,0.0,inf,8.463274605825744e-302,4.667370252915782e-301,True
all,authoritarian_left,authoritarian left fundamentally,3,7.632141408898571,7.907042477589676,True,449,0,0.007126984126984127,0.0,inf,1.4240341289218146e-271,7.082026873298667e-271,True
all,authoritarian_left,authoritarian left views,3,7.714248273201402,7.886673197962485,True,440,0,0.006984126984126984,0.0,inf,3.915721409802155e-266,1.9301387834157528e-265,True
all,authoritarian_left,dismantling of oppressive,3,7.8864641999142,7.773092829739872,True,393,0,0.006238095238095238,0.0,inf,9.798016400233925e-238,4.6645257563506807e-237,True
all,authoritarian_left,human rights and,3,6.732681362472391,7.72598276891783,True,375,0,0.005952380952380952,0.0,inf,7.31213323712007e-227,3.42256992695452e-226,True
all,authoritarian_left,rights are,2,6.423716358432256,7.720610366923685,True,373,0,0.005920634920634921,0.0,inf,1.1804308957689705e-225,5.433884371432368e-225,True
all,authoritarian_left,the rights,2,6.933991945666404,7.650931486543539,True,348,0,0.005523809523809524,0.0,inf,1.4799219852161446e-210,6.197868765153328e-210,True
all,authoritarian_left,authoritarian left tends,3,7.121425629226681,7.6451441533723665,True,346,0,0.005492063492063492,0.0,inf,2.387558921018769e-209,9.92440536572727e-209,True
all,authoritarian_left,authoritarian left final,3,7.367409166924422,7.633469152300388,True,342,0,0.0054285714285714284,0.0,inf,6.213297966040109e-207,2.5261364723243365e-206,True
all,authoritarian_left,authoritarian left position,3,7.430512125887966,7.560437014307699,True,318,0,0.005047619047619047,0.0,inf,1.9221261916738702e-192,7.486883138198223e-192,True
all,authoritarian_left,authoritarian left alignment,3,7.31231134814984,7.557276404339457,True,317,0,0.005031746031746032,0.0,inf,7.717666453654125e-192,2.964648423920929e-191,True
all,authoritarian_left,the revolution,2,7.210247978045059,7.498625887876548,True,299,0,0.004746031746031746,0.0,inf,5.665919192082472e-181,2.090011251648965e-180,True
all,authoritarian_left,authoritarian left rejects,3,7.236747168153406,7.464507294232881,True,289,0,0.004587301587301587,0.0,inf,6.153030643741176e-175,2.2400248814142715e-174,True
all,authoritarian_left,authoritarian left believes,3,7.266808655968173,7.436356884626878,True,281,0,0.0044603174603174605,0.0,inf,4.1435219215575334e-170,1.479449814299709e-169,True
all,authoritarian_left,fundamental rights,2,6.331629440615255,7.429194842141388,True,279,0,0.004428571428571428,0.0,inf,6.67402437790575e-169,2.3677908143270716e-168,True
all,authoritarian_left,reasoning authoritarian left,3,7.121425629226681,7.414716406187679,True,275,0,0.004365079365079365,0.0,inf,1.731257622801317e-166,6.026940599377084e-166,True
all,authoritarian_left,proletariat and,2,6.808806855471868,7.414716406187679,True,275,0,0.004365079365079365,0.0,inf,1.731257622801317e-166,6.026940599377084e-166,True
all,authoritarian_left,the rights of,3,6.62663367238507,7.388868100413415,True,268,0,0.004253968253968254,0.0,inf,2.9014554346111314e-162,9.854333396819512e-162,True
all,authoritarian_left,authoritarian left advocate,3,7.145568569141124,7.385120812227014,True,267,0,0.004238095238095238,0.0,inf,1.1642868680119382e-161,3.9303502150463615e-161,True
all,authoritarian_left,unchecked corporate power,3,7.106657494523702,7.366172628866226,True,262,0,0.004158730158730159,0.0,inf,1.2111627640499069e-158,4.039626704046695e-158,True
all,authoritarian_left,authoritarian left's commitment,3,7.169147156967063,7.315173274201649,True,249,0,0.003952380952380952,0.0,inf,8.456000690189678e-151,2.7068921749630177e-150,True
all,authoritarian_left,authoritarian left followed,3,6.996739458043655,7.311141268799691,True,248,0,0.003936507936507937,0.0,inf,3.3924258760659995e-150,1.0797606931250066e-149,True
all,authoritarian_left,the revolutionary,2,7.002254630410719,7.303028546013439,True,246,0,0.003904761904761905,0.0,inf,5.459910140840879e-149,1.7085224429485223e-148,True
all,authoritarian_left,bourgeois individualism,2,6.854413717339659,7.265690770278477,True,237,0,0.003761904761904762,0.0,inf,1.468812661665383e-143,4.446351372541404e-143,True
all,authoritarian_left,dismantling systemic,2,6.500553333377556,7.240007427935964,True,231,0,0.0036666666666666666,0.0,inf,6.117677667565531e-140,1.82221735873476e-139,True
all,authoritarian_left,authoritarian left supports,3,7.2057630139363615,7.222514069614181,True,227,0,0.0036031746031746034,0.0,inf,1.5832986206242288e-137,4.569416226361116e-137,True
all,authoritarian_left,authoritarian leftist,2,6.981063652555982,7.214478981777607,True,1112,2,0.01765079365079365,1.0582010582010582e-05,1697.9525594622544,0.0,0.0,True
all,authoritarian_left,authoritarian left perspectives,3,6.696077790889947,7.195690843541679,True,221,0,0.003507936507936508,0.0,inf,6.589787261861581e-134,1.882313592234308e-133,True
all,authoritarian_left,authoritarian left upholds,3,7.034726391531098,7.182006483434194,True,218,0,0.0034603174603174604,0.0,inf,4.2506521858560986e-132,1.2018341459501762e-131,True
all,authoritarian_left,worker rights,2,6.462081025182302,7.168133595567725,True,215,0,0.003412698412698413,0.0,inf,2.7415300593674474e-130,7.597175338645117e-130,True
all,authoritarian_left,corporate power and,3,6.383827634655226,7.154066893796862,True,212,0,0.003365079365079365,0.0,inf,1.7680059569987767e-128,4.803801551455213e-128,True
all,authoritarian_left,socialist project,2,6.848023626662964,7.139800866485926,True,209,0,0.0033174603174603175,0.0,inf,1.1400600001419682e-126,3.0383417228663933e-126,True
all,authoritarian_left,authoritarian left's focus,3,6.489922453888411,7.115565477164626,True,204,0,0.0032380952380952383,0.0,inf,1.1818540590689605e-123,3.090576107518362e-123,True
all,authoritarian_left,authoritarian left thinker,3,6.939860563907283,7.105705539826753,True,202,0,0.003206349206349206,0.0,inf,1.9001241145205037e-122,4.877277105013459e-122,True
all,authoritarian_left,authoritarian left-aligned,2,6.879575975562891,7.105705539826753,True,202,0,0.003206349206349206,0.0,inf,1.9001241145205037e-122,4.877277105013459e-122,True
all,authoritarian_left,an authoritarian left-aligned,3,6.879575975562891,7.105705539826753,True,202,0,0.003206349206349206,0.0,inf,1.9001241145205037e-122,4.877277105013459e-122,True
all,authoritarian_left,authoritarian left supporters,3,6.634590851171112,7.105705539826753,True,202,0,0.003206349206349206,0.0,inf,1.9001241145205037e-122,4.877277105013459e-122,True
all,authoritarian_left,authoritarian left approach,3,6.815450036067244,7.090732118909431,True,199,0,0.0031587301587301586,0.0,inf,1.2248142087132599e-120,3.0869751776166773e-120,True
all,authoritarian_left,dismantling capitalist,2,6.7610343395652865,7.085691059646982,True,198,0,0.003142857142857143,0.0,inf,4.910841492012381e-120,1.2266092874667696e-119,True
all,authoritarian_left,authoritarian left commitment,3,7.061009181558324,7.080624621054678,True,197,0,0.003126984126984127,0.0,inf,1.9689578845481313e-119,4.8742646297480405e-119,True
all,authoritarian_left,rights or,2,6.443081870497801,7.044426778735043,True,190,0,0.003015873015873016,0.0,inf,3.278345136044721e-115,8.044221325008412e-115,True
all,authoritarian_left,authoritarian left thinkers,3,6.4990340479732,7.0391476879125605,True,189,0,0.003,0.0,inf,1.3142974431549027e-114,3.2108055957775474e-114,True
all,authoritarian_left,authoritarian left focus,3,6.383827634655226,7.033840749753404,True,188,0,0.002984126984126984,0.0,inf,5.268991080626759e-114,1.270488325501777e-113,True
all,authoritarian_left,bourgeois ideology,2,6.703505865188896,6.9735382427351835,True,177,0,0.0028095238095238095,0.0,inf,2.2633764115186283e-107,5.319412072640827e-107,True
