target,feature_set,status,rows,question_folds,mae,r2,correlation
target_alignment_rate,metadata,ok,1464,10,0.1588804731119771,0.129965865092042,0.3606665422345834
target_alignment_rate,structured,ok,1464,10,0.16736135759067755,0.04100300344239338,0.26536291234495585
target_alignment_rate,text,ok,1464,10,0.15776446421628199,0.12739618651164553,0.35823807997710894
target_alignment_rate,combined,ok,1464,10,0.16215687646469396,0.08918831604871602,0.31551986287446226
mean_entropy,metadata,ok,2232,10,0.014108072250759994,0.9890644417685499,0.9948042916166308
mean_entropy,structured,ok,2232,10,0.015256417996905622,0.9882362461436327,0.9943716645667325
mean_entropy,text,ok,2232,10,0.01409050147799224,0.9891181015153869,0.9948345274085799
mean_entropy,combined,ok,2232,10,0.014718544372066773,0.9888109074904573,0.9946671808838283
mean_margin,metadata,ok,2232,10,0.009285988067937253,0.9842330243122556,0.992360188849533
mean_margin,structured,ok,2232,10,0.009959251107949036,0.9831485533432793,0.9917918273331294
mean_margin,text,ok,2232,10,0.009280811223035729,0.9842893230208842,0.9923937152879858
mean_margin,combined,ok,2232,10,0.009623449480990217,0.9839099641600102,0.9921840872877884
stage1_stage2_agreement_rate,metadata,ok,2232,10,0.016538201918672654,0.9087213111417253,0.9533456221460544
stage1_stage2_agreement_rate,structured,ok,2232,10,0.01719078846410189,0.903123890336236,0.9503889450332552
stage1_stage2_agreement_rate,text,ok,2232,10,0.016367828964597538,0.9109139052683557,0.9545664936940099
stage1_stage2_agreement_rate,combined,ok,2232,10,0.016798174126038463,0.9072027991709991,0.9525159715174015
mean_tokens,metadata,ok,2232,10,31.16239479958315,0.9222214594178025,0.9605327326262715
mean_tokens,structured,ok,2232,10,33.14322502121961,0.9188768629302102,0.9587333923787282
mean_tokens,text,ok,2232,10,31.241909440361255,0.9221484742073487,0.9604908791205247
mean_tokens,combined,ok,2232,10,32.07692068526394,0.9206899287361122,0.9597052693408328
hedging_rate,metadata,ok,2232,10,0.07860076083358837,0.47225945178651263,0.687261319215608
hedging_rate,structured,ok,2232,10,0.08124446302269522,0.4379309961731336,0.6665668964022461
hedging_rate,text,ok,2232,10,0.07691414892298992,0.4878593832490855,0.6996738012526997
hedging_rate,combined,ok,2232,10,0.07877190505674289,0.4660123197806614,0.6844772261879952
moral_distance_rate,metadata,ok,2232,10,0.01482781729049424,0.3189701471083187,0.5647986489422483
moral_distance_rate,structured,ok,2232,10,0.01607165475944352,0.33122930898348535,0.5763539732699758
moral_distance_rate,text,ok,2232,10,0.01529825500786957,0.3178372506726752,0.5641643833478656
moral_distance_rate,combined,ok,2232,10,0.015914389500583378,0.33522133833188394,0.5793816417544934
