pair_model,ideology,think_outcome,delta_stage1_tokens__count,delta_stage1_tokens__mean,delta_stage1_tokens__median,delta_stage1_tokens__std,delta_visible_words__count,delta_visible_words__mean,delta_visible_words__median,delta_visible_words__std,delta_classification_entropy__count,delta_classification_entropy__mean,delta_classification_entropy__median,delta_classification_entropy__std,delta_classification_margin__count,delta_classification_margin__mean,delta_classification_margin__median,delta_classification_margin__std,delta_target_projection_expected__count,delta_target_projection_expected__mean,delta_target_projection_expected__median,delta_target_projection_expected__std,think_words_think__count,think_words_think__mean,think_words_think__median,think_words_think__std,think_hedging_present_think__count,think_hedging_present_think__mean,think_hedging_present_think__median,think_hedging_present_think__std,think_self_correction_present_think__count,think_self_correction_present_think__mean,think_self_correction_present_think__median,think_self_correction_present_think__std,think_persona_meta_present_think__count,think_persona_meta_present_think__mean,think_persona_meta_present_think__median,think_persona_meta_present_think__std
Qwen3-14B,authoritarian_left,both_aligned,7861,384.117415087139,326.0,224.44555339981932,7861,-41.898995038799136,-21.0,62.43976415590383,7861,-0.0034756686973286717,0.0004561919247480213,0.07911068801857424,7861,0.0039681711727269555,-6.294322072919467e-05,0.06924328318555158,7861,0.004129323984173605,-1.4611734653890984e-05,0.06561686059730212,7861,349.3793410507569,300.0,178.42946190568563,7861,0.9720137387100878,1.0,0.1649439038409037,7861,0.629182037908663,1.0,0.48305453578500085,7861,0.6599669253275665,1.0,0.47375007521474616
Qwen3-14B,authoritarian_left,both_unaligned,6254,402.42580748321075,332.0,252.80535166398153,6254,-39.68692037096258,-19.0,62.74218388952519,6254,0.0003764638570752914,0.0008110379534036985,0.08335956798098167,6254,0.002175176044777371,-0.00012412626458896403,0.06742274434172145,6254,0.003269430738577822,2.091780333196569e-05,0.046498418523347324,6254,362.0615606012152,300.0,201.0639441253599,6254,0.9772945314998401,1.0,0.1489747592238738,6254,0.570674768148385,1.0,0.49501945330678987,6254,0.6701311160857052,1.0,0.4702028873104207
Qwen3-14B,authoritarian_left,not_comparable,300,528.83,437.5,328.64770216824627,300,-32.88666666666666,-12.0,64.94309695182805,300,0.0072393101586373495,0.0009615841047054096,0.07079890511042382,300,-0.005473810914788098,-0.00015166968182633855,0.07056473598370289,0,,,,300,461.45666666666665,383.0,267.3280676898796,300,0.9666666666666667,1.0,0.1798054194170131,300,0.79,1.0,0.40798878599580135,300,0.6666666666666666,1.0,0.47219216464988556
Qwen3-14B,authoritarian_left,think_harm,1689,488.83599763173476,409.0,297.45653389442197,1689,-30.986382474837182,-7.0,66.4926709373808,1689,0.0021092118739343834,0.0020701067364995037,0.11727856661139612,1689,0.002587154282234916,-0.0003511745532698285,0.0999066326653215,1689,-0.4505286608850247,-0.45334653976289685,0.1626755978114431,1689,419.75251628182355,351.0,239.90382224715566,1689,0.9828300769686205,1.0,0.12994273308488596,1689,0.7015985790408525,1.0,0.4576920801014077,1689,0.6844286560094731,1.0,0.46488065637965276
Qwen3-14B,authoritarian_left,think_rescue,2496,527.6490384615385,466.0,294.1547331544252,2496,-38.62540064102564,-15.0,68.05713369466282,2496,-0.0032362144136449224,0.001630810915073002,0.11735083824544473,2496,0.005976670884024269,-0.00027607111119676286,0.10114305130251572,2496,0.5861537365431945,0.4621676155523122,0.2940950000017255,2496,461.25160256410254,410.0,235.69251052264866,2496,0.9855769230769231,1.0,0.11925078276761593,2496,0.7956730769230769,1.0,0.4032897133303351,2496,0.6650641025641025,1.0,0.47206262523283893
Qwen3-14B,authoritarian_right,both_aligned,12066,399.12779711586273,346.0,221.77131714987289,12066,-37.07856787667827,-15.0,65.44686111755969,12066,-0.0021799099517851588,0.00047933037226695775,0.0688240785946788,12066,0.0030603753287725987,-6.753473857573633e-05,0.055810492399041144,12066,0.0034652060488884234,-1.0622762053935642e-05,0.059835141847879456,12066,356.13094646113046,309.0,178.5541166535807,12066,0.9858279462953754,1.0,0.11820475706655321,12066,0.6006961710591745,1.0,0.4897756239379646,12066,0.701806729653572,1.0,0.4574837586353546
Qwen3-14B,authoritarian_right,both_unaligned,2650,490.88377358490567,415.0,282.41631064580173,2650,-37.85320754716981,-15.0,63.4119832058131,2650,-0.0014320558420630705,0.0012137660406048429,0.10456185498301544,2650,0.0037653971690048567,-0.00018680366028822615,0.08553026373586753,2650,0.008646491786653094,4.3073853722194744e-05,0.0845495600542543,2650,432.4724528301887,372.0,228.76244805531988,2650,0.9958490566037735,1.0,0.06430609260195372,2650,0.6581132075471698,1.0,0.4744313979830209,2650,0.7113207547169811,1.0,0.45323399696566163
Qwen3-14B,authoritarian_right,not_comparable,300,571.9933333333333,504.0,292.8792712261067,300,-43.88666666666666,-16.0,77.26491254935681,300,0.006569799475853311,0.0009990800080692203,0.10601473020993575,300,-0.0028423376274459614,-0.00018539668697215017,0.0852136516809988,0,,,,300,503.47,450.5,230.2255018578212,300,0.9966666666666667,1.0,0.05773502691896258,300,0.9033333333333333,1.0,0.29599707733047437,300,0.6533333333333333,1.0,0.47670365722489916
Qwen3-14B,authoritarian_right,think_harm,1221,594.5298935298936,522.0,321.21167904231845,1221,-31.45126945126945,-8.0,65.20517649251445,1221,0.00529618574478423,0.0026915237607177704,0.09724105819016339,1221,0.0007129433265698256,-0.00046884975281857866,0.07879093828207463,1221,-0.678110856521837,-0.5131216051273798,0.326912636833945,1221,508.1408681408681,455.0,262.03862149747107,1221,0.9983619983619983,1.0,0.04045564254474516,1221,0.7633087633087633,1.0,0.4252253333178452,1221,0.7199017199017199,1.0,0.44923102622511407
Qwen3-14B,authoritarian_right,think_rescue,2363,516.0795598815066,437.0,283.72510804643633,2363,-35.05543800253915,-9.0,72.228274811962,2363,-0.008215175756943933,0.000756351317397928,0.13232333962331486,2363,0.009685984037736581,-0.0001242174565463383,0.12016845180930295,2363,0.6232447359554921,0.46295526785459445,0.32123758982071077,2363,447.22556072788825,382.0,233.4142643188801,2363,0.9906898011002963,1.0,0.0960594818727737,2363,0.7380448582310623,1.0,0.43979142506819874,2363,0.7240795598815065,1.0,0.4470715102111539
